"Date","Mkt_RF","SMB","HML","RMW","CMA","RF","Mkt_RF_3mo","Mkt_RF_12mo","Mkt_RF_36mo","SMB_3mo","SMB_12mo","SMB_36mo","HML_3mo","HML_12mo","HML_36mo","RMW_3mo","RMW_12mo","RMW_36mo","CMA_3mo","CMA_12mo","CMA_36mo"
1969-10-01,5.05,3.91,-3.12,0.08,-2.08,0.6,2.25666666666666,-0.749166666666666,0.615,1.92666666666667,-0.265833333333333,1.50861111111111,-3.36333333333333,-0.679999999999999,-0.0677777777777777,1.5,0.6125,0.283333333333333,-2.22666666666667,-0.38,-0.288611111111111
1969-11-01,-3.8,-2.42,-1.25,1.4,0.21,0.52,-0.573333333333335,-1.5175,0.471111111111111,0.926666666666668,-0.666666666666666,1.34861111111111,-2.53,-0.704166666666666,0.0261111111111112,1.61333333333333,0.6925,0.192777777777778,-0.83,-0.153333333333333,-0.101944444444444
1969-12-01,-2.63,-3.72,-2.88,2.55,-1.92,0.64,-0.460000000000002,-1.40916666666667,0.394444444444445,-0.743333333333332,-1.2725,1.19305555555556,-2.41666666666667,-0.947499999999999,-0.0274999999999999,1.34333333333333,1.06416666666667,0.258888888888889,-1.26333333333333,-0.474166666666667,-0.150833333333333
1970-01-01,-8.11,3.08,3.17,-1.75,3.96,0.6,-4.84666666666667,-1.98083333333333,-0.0572222222222219,-1.02,-0.980833333333333,1.02916666666667,-0.32,-0.821666666666666,-0.00499999999999989,0.733333333333332,1.045,0.174444444444444,0.75,-0.251666666666667,0.0441666666666666
1970-02-01,5.14,-2.57,3.69,-2.41,2.87,0.62,-1.86666666666667,-1.06416666666667,0.0641666666666669,-1.07,-0.848333333333333,0.874166666666667,1.32666666666667,-0.588333333333333,0.160277777777778,-0.536666666666668,0.678333333333334,0.0613888888888889,1.63666666666667,-0.075,0.149722222222222
1970-03-01,-1.06,-2.42,4.08,-1.06,4.42,0.57,-1.34333333333334,-1.375,-0.0763888888888886,-0.636666666666665,-1.0075,0.757777777777778,3.64666666666667,-0.213333333333333,0.260555555555556,-1.74,0.701666666666667,0.00916666666666667,3.75,0.33,0.314166666666667
1970-04-01,-10.99,-6.34,6.14,-0.63,5.9,0.5,-2.30333333333334,-2.41333333333333,-0.489722222222222,-3.77666666666667,-1.47083333333333,0.569722222222222,4.63666666666667,0.296666666666667,0.494722222222222,-1.36666666666667,0.625833333333333,-0.0941666666666667,4.39666666666667,0.835,0.581388888888889
1970-05-01,-6.91,-4.46,3.32,-1.29,3.79,0.53,-6.32,-2.98083333333333,-0.561666666666666,-4.40666666666667,-1.8275,0.377777777777778,4.51333333333333,0.521666666666667,0.564722222222222,-0.993333333333335,0.590833333333333,-0.0969444444444444,4.70333333333333,1.06333333333333,0.641666666666667
1970-06-01,-5.8,-2.1,0.44,0.14,2.71,0.58,-7.9,-2.86583333333333,-0.79,-4.3,-1.54666666666667,0.141111111111111,3.3,0.650000000000001,0.554722222222222,-0.593333333333335,0.246666666666667,-0.0697222222222222,4.13333333333333,1.425,0.786111111111111
1970-07-01,6.92,-0.66,0.93,-0.3,1.72,0.52,-1.93,-1.70583333333333,-0.725,-2.40666666666666,-1.31916666666667,0.0233333333333336,1.56333333333333,0.629166666666667,0.504166666666667,-0.483333333333335,0.0958333333333335,-0.0905555555555556,2.74,1.415,0.76
