School,SalaryType,Rank,Salary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Assistant,"71,824.90","24,930.00",1.4386381339,"35,865.25",,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Full,"127,045.88","25,902.27",1.4065815221,"36,433.65",,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Associate,"94,992.48","25,902.27",1.4065815221,"36,433.65",,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Assistant,"77,614.45","25,902.27",1.4065815221,"36,433.65",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Full,"135,908.77","27,171.48",1.3700952902,"37,227.52",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Associate,"105,092.97","27,171.48",1.3700952902,"37,227.52",,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Assistant,"84,679.73","27,171.48",1.3700952902,"37,227.52",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Full,"136,785.54","28,667.00",1.3251971321,"37,989.43",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Associate,"102,905.57","28,667.00",1.3251971321,"37,989.43",,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Assistant,"80,994.38","28,667.00",1.3251971321,"37,989.43",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Full,"137,334.51","30,194.00",1.2837847231,"38,762.60",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Associate,"102,225.14","30,194.00",1.2837847231,"38,762.60",,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Assistant,"76,297.52","30,194.00",1.2837847231,"38,762.60",,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Full,"139,887.02","31,794.00",1.2482323884,"39,686.30",,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Associate,"106,370.36","31,794.00",1.2482323884,"39,686.30",,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Assistant,"83,860.32","31,794.00",1.2482323884,"39,686.30",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Full,"134,946.54","33,479.00",1.2020780018,"40,244.37",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Associate,"102,143.64","33,479.00",1.2020780018,"40,244.37",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Assistant,"75,018.25","33,479.00",1.2020780018,"40,244.37",,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Full,"135,710.35","35,124.00",1.2063699979,"42,372.54",,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Associate,"98,883.78","35,124.00",1.2063699979,"42,372.54",,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Assistant,"71,979.86","35,124.00",1.2063699979,"42,372.54",,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Full,"132,801.05","36,683.00",1.1869015287,"43,539.11",,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Associate,"97,786.32","36,683.00",1.1869015287,"43,539.11",,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Assistant,"72,093.49","36,683.00",1.1869015287,"43,539.11",,,,,,,,,,,,,,,,,,,,,,,,,,,
